Sequence,Time,File,RangeOffset,RangeLength,Text,Language,Type
1,6,"exercises/easy/ex1-hello-world.js",0,0,"function helloWorld() {\n  // write a function that prints ""Hello World!"" to the console\n\n\n\n  \n}\n\nmodule.exports = helloWorld;\n",javascript,tab
2,5420,"exercises/easy/ex1-hello-world.js",89,0,"  ",javascript,content
3,6836,"exercises/easy/ex1-hello-world.js",91,0,"c",javascript,content
4,6945,"exercises/easy/ex1-hello-world.js",92,0,"o",javascript,content
5,7234,"exercises/easy/ex1-hello-world.js",93,0,"n",javascript,content
6,7547,"exercises/easy/ex1-hello-world.js",94,0,"s",javascript,content
7,7774,"exercises/easy/ex1-hello-world.js",95,0,"o",javascript,content
8,7972,"exercises/easy/ex1-hello-world.js",96,0,"l",javascript,content
9,8221,"exercises/easy/ex1-hello-world.js",97,0,"e",javascript,content
10,8407,"exercises/easy/ex1-hello-world.js",91,7,"console",javascript,content
10,8407,"exercises/easy/ex1-hello-world.js",91,7,"console",javascript,content
11,8408,"exercises/easy/ex1-hello-world.js",98,0,".",javascript,content
12,8824,"exercises/easy/ex1-hello-world.js",99,0,"l",javascript,content
13,9054,"exercises/easy/ex1-hello-world.js",100,0,"o",javascript,content
14,9485,"exercises/easy/ex1-hello-world.js",101,0,"g",javascript,content
15,10487,"exercises/easy/ex1-hello-world.js",98,4,".log",javascript,content
15,10487,"exercises/easy/ex1-hello-world.js",98,4,".log",javascript,content
16,10488,"exercises/easy/ex1-hello-world.js",102,0,"()",javascript,content
17,11725,"exercises/easy/ex1-hello-world.js",103,0,"""""",javascript,content
18,12507,"exercises/easy/ex1-hello-world.js",104,0,"W",javascript,content
19,12954,"exercises/easy/ex1-hello-world.js",104,1,"",javascript,content
20,13902,"exercises/easy/ex1-hello-world.js",104,0,"H",javascript,content
21,14068,"exercises/easy/ex1-hello-world.js",105,0,"e",javascript,content
22,14969,"exercises/easy/ex1-hello-world.js",106,0,"l",javascript,content
23,15155,"exercises/easy/ex1-hello-world.js",107,0,"l",javascript,content
24,15303,"exercises/easy/ex1-hello-world.js",108,0,"o",javascript,content
25,15552,"exercises/easy/ex1-hello-world.js",109,0," ",javascript,content
26,15720,"exercises/easy/ex1-hello-world.js",110,0,"W",javascript,content
27,15817,"exercises/easy/ex1-hello-world.js",111,0,"o",javascript,content
28,16001,"exercises/easy/ex1-hello-world.js",112,0,"r",javascript,content
29,16119,"exercises/easy/ex1-hello-world.js",113,0,"l",javascript,content
30,16319,"exercises/easy/ex1-hello-world.js",114,0,"d",javascript,content
31,16669,"exercises/easy/ex1-hello-world.js",115,0,"!",javascript,content
32,18744,"exercises/easy/ex1-hello-world.js",116,0,")",javascript,content
33,19392,"exercises/easy/ex1-hello-world.js",117,0,";",javascript,content
34,22901,"exercises/easy/ex1-hello-world.js",117,1,"",javascript,content
35,23218,"exercises/easy/ex1-hello-world.js",116,1,"",javascript,content
36,25085,"exercises/easy/ex1-hello-world.js",118,0,";",javascript,content
37,190836,"exercises/easy/ex1-hello-world.js",0,0,"function helloWorld() {\n  // write a function that prints ""Hello World!"" to the console\n\n  console.log(""Hello World!"");\n\n  \n}\n\nmodule.exports = helloWorld;\n",javascript,tab
38,230695,"exercises/easy/ex1-hello-world.js",126,0,"\n",javascript,content
39,230853,"exercises/easy/ex1-hello-world.js",127,0,"\n",javascript,content
40,231807,"exercises/easy/ex1-hello-world.js",127,0,"h",javascript,content
41,232047,"exercises/easy/ex1-hello-world.js",128,0,"e",javascript,content
42,232114,"exercises/easy/ex1-hello-world.js",129,0,"l",javascript,content
43,232238,"exercises/easy/ex1-hello-world.js",130,0,"l",javascript,content
44,232478,"exercises/easy/ex1-hello-world.js",131,0,"o",javascript,content
45,233139,"exercises/easy/ex1-hello-world.js",132,0,"W",javascript,content
46,233255,"exercises/easy/ex1-hello-world.js",133,0,"o",javascript,content
47,233342,"exercises/easy/ex1-hello-world.js",134,0,"r",javascript,content
48,233454,"exercises/easy/ex1-hello-world.js",135,0,"l",javascript,content
49,233539,"exercises/easy/ex1-hello-world.js",136,0,"d",javascript,content
50,233749,"exercises/easy/ex1-hello-world.js",127,10,"helloWorld",javascript,content
50,233749,"exercises/easy/ex1-hello-world.js",127,10,"helloWorld",javascript,content
51,233750,"exercises/easy/ex1-hello-world.js",137,0,"()",javascript,content
52,234639,"exercises/easy/ex1-hello-world.js",138,1,")",javascript,content
53,235456,"exercises/easy/ex1-hello-world.js",139,0,";",javascript,content
54,260650,"exercises/easy/ex2-type-checker.js",0,0,"function showAllTypes() {\n  /* Create a function that outputs the typeof for:\n  objects, arrays, strings, numbers, booleans, null, undefined, and NaN It should return an object containing all these types */\n}\n\nmodule.exports = showAllTypes;\n",javascript,tab
55,267504,"exercises/easy/ex2-type-checker.js",176,0,"\n  ",javascript,content
56,267846,"exercises/easy/ex2-type-checker.js",179,1,"\n  ",javascript,content
57,268045,"exercises/easy/ex2-type-checker.js",182,0,"\n  ",javascript,content
58,269017,"exercises/easy/ex2-type-checker.js",183,2,"",javascript,content
59,269219,"exercises/easy/ex2-type-checker.js",182,1,"",javascript,content
60,269422,"exercises/easy/ex2-type-checker.js",180,2,"",javascript,content
61,269593,"exercises/easy/ex2-type-checker.js",179,1,"",javascript,content
62,269897,"exercises/easy/ex2-type-checker.js",177,2,"",javascript,content
63,270148,"exercises/easy/ex2-type-checker.js",176,1,"",javascript,content
64,271255,"exercises/easy/ex2-type-checker.js",176,0," ",javascript,content
65,276022,"exercises/easy/ex2-type-checker.js",206,0,"\n  ",javascript,content
66,276172,"exercises/easy/ex2-type-checker.js",209,0,"\n  ",javascript,content
66,276172,"exercises/easy/ex2-type-checker.js",209,0,"\n  ",javascript,content
67,276172,"exercises/easy/ex2-type-checker.js",207,2,"",javascript,content
68,276359,"exercises/easy/ex2-type-checker.js",210,0,"\n  ",javascript,content
68,276359,"exercises/easy/ex2-type-checker.js",210,0,"\n  ",javascript,content
69,276359,"exercises/easy/ex2-type-checker.js",208,2,"",javascript,content
70,276514,"exercises/easy/ex2-type-checker.js",211,0,"\n  ",javascript,content
